문장,대분류,중분류,소분류
곰살갑지 못하며,부정,,
곰살궂지 못하고,부정,,
곰팡내,부정,,
곰팡이,부정,,
곱거나,긍정,,
곱게,긍정,,
곱게 꾸며,긍정,,
곱게 피어나는,긍정,,
곱게 피어나다,긍정,,
곱고,긍정,,
곱고 바르며,긍정,,
곱고 보드라운,긍정,,
곱고 보드랍다,긍정,,
곱고 아름답다,긍정,,
곱다,긍정,,
곱살스러우면서도,긍정,,
곱살스러우면서도 트인,긍정,,
곱살스럽게,긍정,,
곱살스레,긍정,,
곱실대다,부정,,
곱절 용감하다,긍정,,
곱지 아니하다,부정,,
곱지 않고,부정,,
곳에서 평안히,긍정,,
공갈,부정,,
공개적으로 비난하다,부정,,
공격받다,부정,,
공격하다,중립,,
공경의,긍정,,
공경의 예를,긍정,,
공경하는,긍정,,
공경하는 마음으로,긍정,,
공경하다,긍정,,
공경하며,긍정,,
공경하여,긍정,,
공경하여 모시다,긍정,,
공경할,긍정,,
공경할 만하다,긍정,,
공공연히 불법적으로,부정,,
공교롭고,부정,,
공교롭고 이상하다,부정,,
공기가 상쾌하다,긍정,,
공덕으로,긍정,,
공덕을,긍정,,
공덕을 칭송하는,긍정,,
공덕의 힘,긍정,,
공덕이 있는,긍정,,
공로에,긍정,,
공로와,긍정,,
공로와 업적,긍정,,
공범자에,부정,,
공손하게,긍정,,
공손하다,긍정,,
공손하지 아니하고,부정,,
공손함을,긍정,,
공손함을 더하여,긍정,,
공손히,긍정,,
공손히 진찰하다,긍정,,
공연한,부정,,
공연한 짓을,부정,,
공연히,부정,,
공연히 놀며,부정,,
공연히 미워하고,부정,,
공익을,긍정,,
공익을 목적으로,긍정,,
공적의,중립,,
공적이 많은,긍정,,
공정하다,긍정,,
공정하여,긍정,,
공정한,긍정,,
공정함,긍정,,
공평하다,긍정,,
공평하여,긍정,,
공평하여 어느,긍정,,
공평함,긍정,,
공포,부정,,
공포나,부정,,
공포나 긴장으로,부정,,
공포증,부정,,
공허하다,부정,,
공허한,부정,,
공허한 느낌,부정,,
공허한 느낌이,부정,,
공황상태,부정,,
공황장애,부정,,
과거에 급제하여,긍정,,
과격하다,부정,,
과격한,부정,,
과금,부정,,
과대망상에,부정,,
과대망상에 빠진,부정,,
과도하게,부정,,
과로,부정,,
과로 따위가,부정,,
과로 따위로,부정,,
과로로,부정,,
과식을,부정,,
과식을 하거나,부정,,
과음,부정,,
과음하거나,부정,,
과장되다,부정,,
과장되어,부정,,
과장된,부정,,
과체중,부정,,
과하다,부정,,
관계가 끊어지거나,부정,,
관계가 끊어지는,부정,,
관계가 끊어지다,부정,,
관계가 맺어지다,긍정,,
관계를 끊다,부정,,
관계를 맺다,긍정,,
관계없는,부정,,
관계없는 행동을,부정,,
관광할 만한,긍정,,
관능적이다,긍정,,
관람객이 줄어들다,부정,,
관심병,부정,,
관심을 가지지 아니하고,부정,,
관심을 가짐,긍정,,
관심을 기울이다,긍정,,
관심이 있다,긍정,,
관심이나,긍정,,
관심이나 좋아하는,긍정,,
관심이나 흥미,긍정,,
관절염,부정,,
관절이 저리고,부정,,
관철하려고 다투는,부정,,
괄시,부정,,
괄시하다,부정,,
광견병을,부정,,
광명이,긍정,,
광탈,부정,,
괘씸하고,부정,,
괘씸하고 얄미운,부정,,
괘씸하고 얄밉다,부정,,
괘씸한,부정,,
괘씸한 데가,부정,,
괜찮거나,긍정,,
괜찮고,긍정,,
괜찮다,긍정,,
괜한 트집을,부정,,
괜히 트집을,부정,,
괴로운,부정,,
괴로운 느낌,부정,,
괴로운 느낌을,부정,,
괴로운 모양,부정,,
괴로운 상태가,부정,,
괴로운 상태로,부정,,
괴로운 상태에,부정,,
괴로울,부정,,
괴로울 때에,부정,,
괴로움,부정,,
괴로움과,부정,,
괴로움과 아픔,부정,,
괴로움을,부정,,
괴로움을 가져오며,부정,,
괴로움을 느끼다,부정,,
괴로움을 없애,긍정,,
괴로움이나,부정,,
괴로워,부정,,
괴로워하는,부정,,
괴로워하는 모양이나,부정,,
괴로워하다,부정,,
괴로워하며,부정,,
괴롭거나,부정,,
괴롭거나 성가시다,부정,,
괴롭게,부정,,
괴롭게 내는,부정,,
괴롭게 되다,부정,,
괴롭게 소리를,부정,,
괴롭게 여기다,부정,,
괴롭고,부정,,
괴롭고 귀찮게,부정,,
괴롭고 귀찮다,부정,,
괴롭고 아픈,부정,,
괴롭다,부정,,
괴롭지 아니하여,긍정,,
괴롭히거나,부정,,
괴롭히거나 못살게,부정,,
괴롭히는,부정,,
괴롭히는 일,부정,,
괴롭히는 짓을,부정,,
괴롭히다,부정,,
괴멸,부정,,
괴멸되다,부정,,
괴멸하다,부정,,
괴물,부정,,
괴사가,부정,,
괴사가 일어난,부정,,
괴상하고,부정,,
괴상한,부정,,
괴상한 데가,부정,,
괴상한 일,부정,,
괴상한 일이,부정,,
괴이쩍게,부정,,
괴이쩍게 생각하다,부정,,
괴이하게,부정,,
괴이하게 여기다,부정,,
굉장하게,긍정,,
굉장하다,긍정,,
교관하다,중립,,
교도소에 수감된,부정,,
교리에 밝고,긍정,,
교만하게,부정,,
교만하게 굶,부정,,
교만하고,부정,,
교만하다,부정,,
교만하여,부정,,
교만함,부정,,
교모하게 괴롭히거나,부정,,
교묘하게,긍정,,
교묘하고,부정,,
교묘하다,부정,,
교묘히 넘기는,부정,,
교양,긍정,,
교양과,긍정,,
교양이 없고,부정,,
교양이 없다,부정,,
교양이 있다,긍정,,
교양이 있어,긍정,,
교육적인,긍정,,
교제를 끊어,부정,,
교통을 허락하다,긍정,,
교통이 허락되다,긍정,,
교화하고,긍정,,
교활하고,부정,,
교활한,부정,,
교활한 무리들이,부정,,
교활한 수단을,부정,,
교활한 수단이나,부정,,
교훈,긍정,,
구경하며 즐기다,긍정,,
구구함이나 연연함이 없다,긍정,,
구김살 없이,긍정,,
구김살이 없다,긍정,,
구김살이 없이,긍정,,
구두쇠처럼,부정,,
구리게,부정,,
구박하거나,부정,,
구성지고,긍정,,
구속하다,부정,,
구속함,부정,,
구슬퍼질,부정,,
구슬퍼질 정도로,부정,,
구슬프고,부정,,
구슬프고 쓸쓸한,부정,,
구슬프다,부정,,
구슬피,부정,,
구역날,부정,,
구역날 듯하다,부정,,
구역이 나려는,부정,,
구역질,부정,,
구역질나는,부정,,
구역질나다,부정,,
구역질을,부정,,
구역질을 하는,부정,,
구역질이,부정,,
구역질이 나는,부정,,
구역질이 나다,부정,,
구역질이 나서,부정,,
구역질하다,부정,,
구원하다,긍정,,
구원한,긍정,,
구원한 일,긍정,,
구제함,긍정,,
구차스러운,부정,,
구차스러운 짓을,부정,,
구차스럽게,부정,,
구차스럽게 구는,부정,,
구차스럽게 굴다,부정,,
구차하여,부정,,
구차하지 않다,긍정,,
구토,부정,,
구토 증세가,부정,,
구토를,부정,,
구토를 일으키거나,부정,,
국내의 반란,부정,,
군살이 처지도록,부정,,
군색함,부정,,
군소리 없이,긍정,,
군소리를,부정,,
군소리를 내다,부정,,
군소리를 하는,부정,,
군소리를 하다,부정,,
굳게,긍정,,
굳게 맹세하다,긍정,,
굳게 믿다,긍정,,
굳고 행실이,긍정,,
굳세거나,긍정,,
굳세게,긍정,,
굳세게 함,긍정,,
굳세고,긍정,,
굳세고 야무지다,긍정,,
굳세다,긍정,,
굳센 기상이,긍정,,
굳어지다,부정,,
굳은,중립,,
굳은 상태로,중립,,
굳지 못하고,부정,,
굳지 못하여,부정,,
굴복시킴,부정,,
굴복하지 않고,긍정,,
굴욕,부정,,
굴욕감,부정,,
굴욕을,부정,,
굴욕을 당하거나,부정,,
굴욕을 당하여,부정,,
굴욕적,부정,,
굵고 시원시원한,긍정,,
굶는,부정,,
굶는 모양,부정,,
굶다,부정,,
굶주려서,부정,,
굶주리고,부정,,
굶주리다,부정,,
굶주린,부정,,
굶주린 백성을,부정,,
굼드게 먹는,부정,,
굼뜨게,부정,,
굼뜨게 먹다,부정,,
굼뜨게 움직이는,부정,,
굼뜨게 움직이다,부정,,
굼뜨게 하다,부정,,
굼뜨게 행동하는,부정,,
굼뜨게 행동하다,부정,,
굼뜨고,부정,,
굼뜨고 거추장스럽게,부정,,
굼뜨고 게으르게,부정,,
굼뜨고 좀스럽게,부정,,
굼뜨다,부정,,
굽신,부정,,
굽신거리다,부정,,
굽신굽신,부정,,
굽신굽신하다,부정,,
굽신대다,부정,,
굽신하다,부정,,
굽실,부정,,
굽실거리다,부정,,
굽실굽실,부정,,
굽실굽실하다,부정,,
굽실대다,부정,,
굽실하다,부정,,
굽혀서 산다는,부정,,
굽히지 아니하고,긍정,,
굽히지 않는,중립,,
궁상스러운,부정,,
궁상스러운 모양,부정,,
궁상스럽다,부정,,
궁색하게,부정,,
궁색하다,부정,,
궁색하여,부정,,
궁핍하다,부정,,
궁핍히,부정,,
궁하고,부정,,
궁하다,부정,,
궂게,부정,,
궂다,부정,,
권리를 없애거나,부정,,
권리를 침해한,부정,,
권세를 꺾다,중립,,
권세를 마음대로,부정,,
권태,부정,,
권태감,부정,,
권태기,부정,,
권태로이,부정,,
권태롭다,부정,,
권태를,부정,,
권태를 느끼는,부정,,
궐기할,긍정,,
궐기할 것을,긍정,,
귀머거리,부정,,
귀먹은,부정,,
귀양을 보내던,부정,,
귀양이 보내어지다,부정,,
귀에 즐거움과,긍정,,
귀여운,긍정,,
귀여운 느낌이,긍정,,
귀여운 데가,긍정,,
귀여워하거나,긍정,,
귀여워하거나 즐김,긍정,,
귀여워하다,긍정,,
귀여워할,긍정,,
귀여워할 때,긍정,,
귀염성,긍정,,
귀염성스럽다,긍정,,
귀염성스레,긍정,,
귀염을,긍정,,
귀염을 받는,긍정,,
귀염을 받을,긍정,,
귀염을 받지 못할,부정,,
귀엽게,긍정,,
귀엽게 걷는,긍정,,
귀엽게 걷다,긍정,,
귀엽게 기울어지는,긍정,,
귀엽게 기울어지다,긍정,,
귀엽게 놀리며,긍정,,
귀엽게 떠서,긍정,,
귀엽게 여기다,긍정,,
귀엽게 움직이는,긍정,,
귀엽게 움직이다,긍정,,
귀엽게 움직이며,긍정,,
귀엽게 웃는,긍정,,
귀엽게 웃다,긍정,,
귀엽게 이르는,긍정,,
귀엽게 흔들리는,긍정,,
귀엽게 흔들리다,긍정,,
귀엽고,긍정,,
귀엽고 보드랍게,긍정,,
귀엽고 탐스러운,긍정,,
귀엽고 탐스럽다,긍정,,
귀엽고 환하게,긍정,,
귀엽다,긍정,,
귀엽도록,긍정,,
귀엽도록 보드랍고,긍정,,
귀요미,긍정,,
귀중하게,긍정,,
귀중하다,긍정,,
귀중한,긍정,,
귀중한 보배,긍정,,
귀중한 자원이라는,긍정,,
귀중히,긍정,,
귀중히 여기는,긍정,,
귀중히 여기다,긍정,,
귀차니즘,부정,,
귀찮거나,부정,,
귀찮게,부정,,
귀찮게 구는,부정,,
귀찮게 굴다,부정,,
귀찮게 씹히는,부정,,
귀찮게 씹히다,부정,,
귀찮게 하는,부정,,
귀찮게 하다,부정,,
귀찮게 하여,부정,,
귀찮고,부정,,
귀찮고 성가시다,부정,,
귀찮다,부정,,
귀찮아하도록,부정,,
귀찮아하도록 성가시게,부정,,
귀찮으면서도,부정,,
귀찮은,부정,,
귀찮을,부정,,
귀찮을 때,부정,,
귀찮을 정도로,부정,,
귀찮음,부정,,
귀하게,긍정,,
귀하게 되어,긍정,,
귀하게 될,긍정,,
귀하고,긍정,,
귀하고 값진,긍정,,
귀하고 중요하게,긍정,,
귀하고 중요하다,긍정,,
귀하다,긍정,,
귀하며,긍정,,
귀한,긍정,,
규모가 크고,긍정,,
규범을 어기면서,부정,,
규칙을 어겨,부정,,
균의,부정,,
균의 침입으로,부정,,
균형을 잃거나,부정,,
그 감동,긍정,,
그 긍지,긍정,,
그 방정,부정,,
그 범죄를,부정,,
그 사랑,긍정,,
그 시체를,부정,,
그 실수,부정,,
그 질병,부정,,
그 한숨,부정,,
그 형벌에,부정,,
그대로 설사하는,부정,,
그대로 힘없이,부정,,
그득한 병,부정,,
그러하다,긍정,,
그런 근심,부정,,
그런 비판,부정,,
그럴듯하게 대강,부정,,
그럴듯하게 대충,부정,,
그럴듯하다,긍정,,
그럴싸하다,긍정,,
그렇게 되리라는,긍정,,
그렇게 애도함,부정,,
그렇게 인정받는,긍정,,
그르게 되거나,부정,,
그르치다,부정,,
그른,부정,,
그른 짓을,부정,,
그릇되거나,부정,,
그릇되게,부정,,
그릇되게 하는,부정,,
그릇되게 하다,부정,,
그릇되다,부정,,
그릇된,부정,,
그릇된 방향으로,부정,,
그릇된 일을,부정,,
그릇된 짓을,부정,,
그릇된 행동,부정,,
그릇된 행동을,부정,,
그리운,긍정,,
그리운 마음이,긍정,,
그리움,긍정,,
그리웁다,긍정,,
그리워지다,긍정,,
그리워하거나,긍정,,
그리워하거나 좋아하는,긍정,,
그리워하거나 좋아하다,긍정,,
그리워하다,긍정,,
그리워함,긍정,,
그린라이트,긍정,,
그립다,긍정,,
그만두게,부정,,
그만두게 되거나,부정,,
그만두게 하다,부정,,
그만두다,부정,,
그만두어,부정,,
그만두어 버리다,부정,,
그만두어 버림,부정,,
그와 이별하다,부정,,
그윽하고,긍정,,
그윽하고 평온하다,긍정,,
극락,긍정,,
극복하고,긍정,,
극복하다,긍정,,
극성맞게,부정,,
극성맞다,부정,,
극진하게,긍정,,
극진하다,긍정,,
극진한 데가,긍정,,
극혐,부정,,
근거가 없고,부정,,
근본에 맞는,긍정,,
근사하다,긍정,,
근심,부정,,
근심 따위로,부정,,
근심 없이,긍정,,
근심과,부정,,
근심과 걱정으로,부정,,
근심스럽거나,부정,,
근심스럽거나 답답하여,부정,,
근심스럽고,부정,,
근심에 잠겨서,부정,,
근심으로,부정,,
근심이,부정,,
근심이 있어,부정,,
근심이나,부정,,
근심이나 걱정,부정,,
근심이나 걱정이,부정,,
근심이나 걱정이 없고,긍정,,
근심이나 병,부정,,
근심이나 설움으로,부정,,
근심하거나,부정,,
근심하거나 안타까워,부정,,
근심하고,부정,,
근심하는,부정,,
근심하는 데가,부정,,
근심하다,부정,,
근심하며,부정,,
근심하며 분하게,부정,,
근심함,부정,,
근심함을,부정,,
근심함을 이르는,부정,,
근지럽고,부정,,
근질근질 가려운,부정,,
근질근질하다,부정,,
근하다,긍정,,
긁어,중립,,
긁어 상처를,부정,,
금고를 깨뜨리다,부정,,
금사빠,부정,,
금지되다,부정,,
금지된 물건을,부정,,
금지하는 말과,부정,,
금지하려,부정,,
금지하려 할,부정,,
금지함,부정,,
급성 염증,부정,,
급성 위장염의,부정,,
급작스럽게 화를,부정,,
급하게,부정,,
급하게 몰아쉬는,부정,,
급하게 쉬는,부정,,
급하고,부정,,
급하고 거세다,부정,,
급하고 변덕스러워,부정,,
급하다,부정,,
급한 처지에,부정,,
긍가하다,긍정,,
긍정,긍정,,
긍정적,긍정,,
긍정적으로,긍정,,
긍정적으로 강조하는,긍정,,
긍정적이고,긍정,,
긍정적이고 좋다,긍정,,
긍정적인,긍정,,
긍정적인 범위에,긍정,,
긍정적인 태도,긍정,,
긍정적인 효과를,긍정,,
긍정하는,긍정,,
긍정하는 뜻으로,긍정,,
긍정할,긍정,,
긍정할 때,긍정,,
긍정할 때에,긍정,,
긍지,긍정,,
긍지를,긍정,,
긍지를 가지는,긍정,,
긍지를 가짐,긍정,,
기가 눌려,부정,,
기가 막혀,부정,,
기가 막히거나,부정,,
기가 미련이,부정,,
기가 부족하며,부정,,
기가 어색하고,부정,,
기관지염,부정,,
기능 장애로,부정,,
기능을 상실한,부정,,
기능을 잃고,부정,,
기능이 약하여진,부정,,
기능이 허약하여,부정,,
기다리지 못하고,부정,,
기대,긍정,,
기대 이상으로,긍정,,
기대 이상이다,긍정,,
기대가,긍정,,
기대가 가득하다,긍정,,
기대되는,긍정,,
기대된다,긍정,,
기대를 받다,긍정,,
기대에 어그러져,부정,,
기대하다,긍정,,
기대할 만한,긍정,,
기둥처럼 든든히,긍정,,
기량이 부족하여,부정,,
기력이 쇠약한,부정,,
기력이 쇠약해지는,부정,,
기력이 약하여,부정,,
기력이 약하여지는,부정,,
기력이 허약하여,부정,,
기를 꺾다,부정,,
기를 꺾음,부정,,
기름기가 많다,부정,,
기름진 땅,긍정,,
기리어,긍정,,
기막히다,긍정,,
기만하다,부정,,
기모띠,긍정,,
기미하다,긍정,,
기반이 튼튼하게,긍정,,
기반이 튼튼하다,긍정,,
기부하다,긍정,,
기분 나쁠,부정,,
기분 좋은,긍정,,
기분을 나쁘게,부정,,
기분이 나쁘거나,부정,,
기분이 상하다,부정,,
기분이 좋게,긍정,,
기분이 좋다,긍정,,
기분이 좋은,긍정,,
기분이 좋을,긍정,,
기뻐,긍정,,
기뻐서,긍정,,
기뻐서 웃는,긍정,,
기뻐하고,긍정,,
기뻐하고 즐거워하다,긍정,,
기뻐하고 즐거워한다는,긍정,,
기뻐하고 즐거워함,긍정,,
기뻐하는,긍정,,
